baseline_model,ci_hi,ci_lo,paired_rows,reference_better,reference_minus_baseline_rank_ic,reference_model
no_event,0.12933262639031026,0.020408196463429056,2463,True,0.0722226357649095,djb
concat,0.08745467008570289,-0.021362372836881905,2463,False,0.032301837865157945,djb
cebt,0.11507768378722254,0.014423188180321268,2463,True,0.06247353753354836,djb
dot,0.09928926611026347,-0.025697334078656795,2463,False,0.03724099550749898,djb
ejssm_bge,0.03699254321362775,-0.019247865858982725,2463,False,0.007577101486868559,djb
rc_djb,0.05574834898994059,-0.017398415892780544,2463,False,0.01762116197137535,djb
