intervention,mse,event_mse,event_gaussian_nll,abnormal_return_rank_ic,latent_jump_auc,mean_abs_latent_event_true_events,mean_abs_latent_event_controls,mean_abs_event_delta_true_events,mean_abs_event_delta_controls
full,0.05467863753437996,0.08307860791683197,-2.221486806869507,0.009894976302210352,0.7236180904522613,0.048540886491537094,0.04263491556048393,0.04032706841826439,0.012473352253437042
no_jump,0.05998510494828224,0.09264791011810303,-2.1829323768615723,-0.0027658309077290507,0.5,0.0,0.0,0.012400971725583076,0.02257997915148735
zero_event,0.05912115052342415,0.09224269539117813,-2.179450750350952,-0.003058656020954579,0.5,0.042634911835193634,0.04263491556048393,0.020127031952142715,0.012473352253437042
shuffle_event,0.062131498008966446,0.095900759100914,-2.1602253913879395,-0.02086389874434412,0.5253526629733907,0.04580860957503319,0.04520570859313011,0.03172309324145317,0.024577347561717033
