baseline_model,ci_hi,ci_lo,paired_rows,reference_better,reference_minus_baseline_rank_ic,reference_model
cebt_no_controls,0.059503726780091214,-0.020201765813746362,2463,False,0.018419865210448704,cebt
concat,0.12154867327092642,0.005825423764568003,2463,True,0.06453927722323044,cebt
no_event,0.15336910553117575,0.025139144513989294,2463,True,0.0873693438909448,cebt
text_only,0.10283957711303272,-0.00973874737845776,2463,False,0.047209240130127256,cebt
