reference_model,intervention,event_rows,intervention_minus_full_mse,ci_lo,ci_hi,full_better
full,no_jump,1194,0.009569297103861812,0.006398132029168569,0.013051105845830208,True
full,zero_event,1194,0.009164081367236093,0.0062380048368436926,0.012341355673898513,True
full,shuffle_event,1194,0.012822147091923322,0.008839324511772313,0.016981409968173,True
