model,mean_abs_event_delta_true_events,mean_abs_event_delta_controls,event_to_control_delta_ratio
no_event,0.0,0.0,
concat,0.05926470085978508,0.005651847459375858,10.485898865064161
cebt,0.03126821294426918,0.010272489860653877,3.0438786865133842
dot,0.06633210182189941,0.01020597480237484,6.499340151855414
ejssm_bge,0.04032706841826439,0.012473352253437042,3.233057769786966
djb,0.0329299159348011,0.006780896335840225,4.856277740267317
rc_djb,0.035825565457344055,0.007301465608179569,4.906626611677793
